particle_size,freq1,freq2,freq3,freq4
0.011482,0,0,0,0
0.013183,0,0,0,0
0.015136,0,0,0,0
0.017378,0,0,0,0
0.019953,0,0,0,0
0.022909,0,0,0,0
0.026303,0,0,0,0
0.0302,0,0,0,0
0.034674,0,0,0,0
0.039811,0,0,0,0
0.045709,0,0,0,0
0.052481,0,0,0,0
0.060256,0,0,0,0
0.069183,0,0,0,0
0.079433,0,0,0,0
0.091201,0,0,0,0
0.104713,0,0,0,0
0.120226,0,0,0,0
0.138038,0,0,0,0
0.158489,0,0,0,0
0.18197,0,0,0,0
0.20893,0,0,0,0
0.239883,0,0,0,0
0.275423,0,0,0,0
0.316228,0,0,0,0
0.363078,0,0,0,0
0.416869,0,0,0,0
0.47863,0.196142,0.175897,0.166516,0.110504
0.549541,0.380902,0.36057,0.329571,0.240345
0.630957,0.524925,0.506264,0.485501,0.368209
0.724436,0.632531,0.614442,0.581508,0.449331
0.831764,0.691671,0.6783,0.648926,0.506661
0.954993,0.707468,0.704742,0.68251,0.531209
1.096478,0.688505,0.70626,0.705298,0.5353
1.258925,0.653457,0.703082,0.740329,0.530413
1.44544,0.626886,0.719843,0.81836,0.533397
1.659587,0.638401,0.780766,0.965311,0.561061
1.905461,0.716178,0.904944,1.199321,0.627624
2.187762,0.879035,1.097838,1.515464,0.739455
2.511886,1.131134,1.351306,1.887664,0.894374
2.884031,1.454664,1.640387,2.264877,1.078899
3.311311,1.811815,1.929078,2.583726,1.270767
3.801894,2.154608,2.18075,2.785861,1.445548
4.365158,2.432383,2.36583,2.832387,1.582658
5.011872,2.615659,2.479316,2.722441,1.679523
5.754399,2.701157,2.542787,2.502954,1.755443
6.606934,2.731356,2.614216,2.263328,1.863148
7.585776,2.786545,2.773677,2.133581,2.077555
8.709636,2.974743,3.11463,2.24449,2.494525
10,3.386991,3.691576,2.691306,3.175456
11.481536,4.088376,4.532502,3.51885,4.16797
13.182567,5.029379,5.543695,4.635161,5.390993
15.135612,6.117535,6.607595,5.907094,6.742256
17.378008,7.131584,7.498412,7.068745,7.978352
19.952623,7.868342,8.031173,7.894888,8.886478
22.908677,8.118148,8.041334,8.166948,9.237537
26.30268,7.778715,7.474237,7.7944,8.916442
30.199517,6.870967,6.39741,6.818407,7.936001
34.673685,5.528136,4.973465,5.403552,6.435434
39.810717,3.981911,3.424904,3.787689,4.668361
45.708819,2.473909,1.997011,2.257963,2.912897
52.480746,1.205412,0.831128,0.982168,1.40427
60.255959,0.29043,0.010631,0.012904,0.271605
69.183097,0,0,0,0
79.432823,0,0,0,0
91.201084,0,0,0,0
104.712855,0,0,0,0
120.226443,0,0,0,0
138.038426,0,0,0,0
158.489319,0,0,0,0
181.970086,0,0,0,0
208.929613,0,0,0,0
239.883292,0,0,0,0
275.42287,0,0,0,0
316.227766,0,0,0,0
363.078055,0,0,0,0
416.869383,0,0,0,0
478.630092,0,0,0,0
549.540874,0,0,0,0
630.957344,0,0,0,0
724.43596,0,0,0,0
831.763771,0,0,0,0
954.992586,0,0,0,0
1096.478196,0,0,0,0
1258.925412,0,0,0,0
1445.439771,0,0,0,0
1659.586907,0,0,0,0
1905.460718,0,0,0,0
2187.761624,0,0,0,0
2511.886432,0,0,0,0
2884.031503,0,0,0,0
3311.311215,0,0,0,0
3801.893963,0,0,0,0
4365.158322,0,0,0,0
5011.872336,0,0,0,0
5754.399373,0,0,0,0
6606.93448,0,0,0,0
7585.77575,0,0,0,0
8709.6359,0,0,0,0
10000,0,0,0,0
